POSITION,QUANTITY,ENTER PRICE, EXIT PRICE, OUTCOME, PL VAL, PL%

SHORT,0.0035438,28218.64,27654.2672,PROFIT,2.0000000000000036,0.006999999999999999

LONG,0.0036501,27396.63,27944.5626,PROFIT,2.0,0.006999999999999999

SHORT,0.0035845,27897.98,27340.020399999998,PROFIT,2.000000000000007,0.006999999999999999

LONG,0.0036566,27348.14,27074.6586,LOSS,-1.0000000000000022,-0.004

LONG,0.0036885,27111.63,27653.8626,PROFIT,1.9999999999999976,0.006999999999999999

SHORT,0.0036146,27665.3,27941.952999999998,LOSS,-0.9999999999999943,-0.004

SHORT,0.0035892,27861.28,28139.892799999998,LOSS,-0.9999999999999963,-0.004

SHORT,0.0035585,28101.72,28382.737200000003,LOSS,-1.0000000000000073,-0.004

SHORT,0.0035344,28293.22,28576.1522,LOSS,-0.9999999999999974,-0.003

SHORT,0.0035084,28502.98,28788.0098,LOSS,-1.0000000000000009,-0.003

SHORT,0.0034786,28747.5,29034.975,LOSS,-0.9999999999999949,-0.003 

SHORT,0.0034447,29030.0,29320.3,LOSS,-0.9999999999999974,-0.003

SHORT,0.003362,29743.93,29149.0514,PROFIT,1.9999999999999998,0.006999999999999999

LONG,0.0034676,28838.22,28549.8378,LOSS,-1.0,-0.003

LONG,0.003537,28272.38,27989.6562,LOSS,-0.9999999999999991,-0.004

LONG,0.003551,28160.94,27879.330599999998,LOSS,-1.0000000000000042,-0.004

LONG,0.0036584,27334.01,27880.690199999997,PROFIT,1.999999999999996,0.006999999999999999

LONG,0.0036412,27463.2,28012.464,PROFIT,1.9999999999999971,0.006999999999999999

SHORT,0.0034648,28861.97,29150.5897,LOSS,-0.9999999999999974,-0.003

SHORT,0.0034016,29397.69,28809.7362,PROFIT,1.9999999999999978,0.006999999999999999

LONG,0.0034872,28676.19,29249.713799999998,PROFIT,1.9999999999999967,0.006999999999999999

SHORT,0.0033893,29504.91,29799.9591,LOSS,-1.0000000000000007,-0.003

SHORT,0.0033579,29780.38,29184.7724,PROFIT,1.9999999999999978,0.006999999999999999

LONG,0.0034202,29237.88,28945.501200000002,LOSS,-0.9999999999999951,-0.003

LONG,0.0034534,28956.76,29535.8952,PROFIT,2.000000000000002,0.006999999999999999

SHORT,0.0033861,29532.7,29828.027000000002,LOSS,-1.0000000000000038,-0.003

SHORT,0.0033618,29746.15,29151.227000000003,PROFIT,1.999999999999996,0.006999999999999999

LONG,0.0034871,28677.1,28390.328999999998,LOSS,-1.0000000000000022,-0.003

LONG,0.0035082,28504.36,28219.3164,LOSS,-1.000000000000003,-0.004

LONG,0.0035573,28110.82,27829.7118,LOSS,-0.9999999999999956,-0.004

LONG,0.003613,27678.09,28231.6518,PROFIT,1.9999999999999982,0.006999999999999999

SHORT,0.0035381,28263.91,28546.5491,LOSS,-1.000000000000001,-0.004

SHORT,0.0035077,28508.45,28793.5345,LOSS,-1.0000000000000029,-0.003

LONG,0.0035297,28330.66,28897.2732,PROFIT,1.9999999999999993,0.006999999999999999

SHORT,0.0034667,28845.54,29133.9954,LOSS,-0.9999999999999962,-0.003

SHORT,0.0034332,29127.67,29418.946699999997,LOSS,-0.999999999999995,-0.003

SHORT,0.0034087,29336.45,29629.8145,LOSS,-0.9999999999999989,-0.003

